device,family,model,quant,mmproj,bound,tok,img,iou,encode_ms,decode_ms,prompt_eval_ms,prompt_tokens,gen_ms,n_tokens,tok_per_sec,load_ms,ttft_ms,ok,note
s25,q35,0.8B,Q4_0,F16,min,1024,000000002532.jpg,0.2002,14702,4355,19323.98,1127,723.84,46,63.55,768.08,38396.715641227376,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000003156.jpg,0.0000,12093,3922,16377.01,1144,6614.97,255,38.55,765.53,32417.950337224385,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000017899.jpg,0.6887,22557,5606,28670.75,1127,1067.81,39,36.52,1198.11,56861.13225629792,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000030828.jpg,0.0000,14982,5002,20287.43,1171,1274.79,80,62.76,605.94,40287.36371574251,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000037670.jpg,0.2605,14269,4062,18672.02,1127,1013.65,45,44.39,638.23,37025.54759630548,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000054654.jpg,0.4403,23547,5842,29884.74,1157,1139.63,42,36.85,1061.63,59300.87704206242,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000093437.jpg,0.5290,23973,5875,30358.97,1166,1140.06,42,36.84,1116.56,60234.1144082519,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000108026.jpg,0.6592,13040,5094,18491.8,1171,1093.67,44,40.23,766.45,36650.65707183694,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000123480.jpg,0.6039,13722,4873,18968.58,1127,1019.23,43,42.19,613.64,37587.28229912301,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000144333.jpg,0.3582,13705,4287,18322.75,1171,1085.28,46,42.39,773.87,36338.34046945034,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000170099.jpg,0.7028,15457,4407,20153.16,1155,1904.85,123,64.57,783.67,40032.64706829798,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000173008.jpg,0.6552,13928,4844,19070.75,1127,652.07,42,64.41,775.29,37858.2755395125,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000187243.jpg,0.7530,22638,5601,28753.2,1127,1184.84,44,37.14,1066.07,57019.125148088315,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000202228.jpg,0.4660,22578,5601,28688.12,1127,1141.72,42,36.79,1061.16,56894.3012992661,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000210299.jpg,0.4878,22588,5559,28654.28,1127,7152.9,255,35.65,1058.93,56829.33049088359,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000223747.jpg,0.0000,14762,3582,18647.06,1155,4365.61,255,58.41,1190.27,37008.1803561034,1,no bbox in generated output
s25,q35,0.8B,Q4_0,F16,min,1024,000000226408.jpg,0.0517,23499,5718,29716.92,1155,2100.42,77,36.66,1055.79,58961.19768685215,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000233370.jpg,0.6238,13819,5142,19359.71,1171,1128.84,45,39.86,708.11,38345.79780732564,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000243204.jpg,0.5667,15331,4141,19785.49,1127,717.63,42,58.53,638.74,39274.57525542458,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000261888.jpg,0.3831,24103,5764,30362.0,1171,2042.22,75,36.72,1065.19,60256.23311546841,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000262895.jpg,0.6679,16748,3404,20433.05,1171,673.24,43,63.87,791.07,40600.70680288086,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000281032.jpg,0.2147,13160,5063,18585.45,1171,5829.26,255,43.74,761.28,36831.31236854138,1,
